id_anssi,titre,type,date,lien,description_bulletin,cve_id,cvss_score,base_severity,cwe_id,cwe_description,epss_score,description,vendor,product,versions_affectees
CERTFR-2026-AVI-0632,Multiples vulnérabilités dans les produits Mattermost (22 mai 2026),avis,2026-05-22,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0632/,De multiples vulnérabilités ont été découvertes dans les produits Mattermost. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur.,CVE-2026-6517,6.3,MEDIUM,CWE-522,CWE-522: Insufficiently Protected Credentials,0.00186,Mattermost Desktop App versions <=6.1 5.5.13.0 fail to restrict the allow list of domains to which NTLM credentials were forwarded to in the Mattermost Desktop App which allows any user on a server without the image proxy enabled to intercept other users credentials via embedding an image that routes to an external web server. Mattermost Advisory ID: MMSA-2026-00651,Mattermost,Mattermost,0
CERTFR-2026-AVI-0716,Multiples vulnérabilités dans FreeBSD (10 juin 2026),avis,2026-06-10,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0716/,De multiples vulnérabilités ont été découvertes dans FreeBSD. Elles permettent à un attaquant de provoquer une élévation de privilèges.,CVE-2026-45257,,,,,,,,,
CERTFR-2026-AVI-0716,Multiples vulnérabilités dans FreeBSD (10 juin 2026),avis,2026-06-10,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0716/,De multiples vulnérabilités ont été découvertes dans FreeBSD. Elles permettent à un attaquant de provoquer une élévation de privilèges.,CVE-2026-49413,,,,,,,,,
CERTFR-2026-AVI-0732,Vulnérabilité dans LibreNMS (11 juin 2026),avis,2026-06-11,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0732/,Une vulnérabilité a été découverte dans LibreNMS. Elle permet à un attaquant de provoquer une exécution de code arbitraire à distance.,,,,,,,,,,
CERTFR-2026-AVI-0742,Multiples vulnérabilités dans les produits NetApp (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0742/,"De multiples vulnérabilités ont été découvertes dans les produits NetApp. Elles permettent à un attaquant de provoquer un déni de service à distance, une atteinte à la confidentialité des données et une atteinte à l'intégrité des données.",CVE-2025-47907,,,Non disponible,CWE-362: Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),0.00331,"Cancelling a query (e.g. by cancelling the context passed to one of the query methods) during a call to the Scan method of the returned Rows can result in unexpected results if other queries are being made in parallel. This can result in a race condition that may overwrite the expected results with those of another query, causing the call to Scan to return either unexpected results from the other query or an error.",Go standard library,database/sql,"0, 1.24.0"
CERTFR-2026-AVI-0742,Multiples vulnérabilités dans les produits NetApp (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0742/,"De multiples vulnérabilités ont été découvertes dans les produits NetApp. Elles permettent à un attaquant de provoquer un déni de service à distance, une atteinte à la confidentialité des données et une atteinte à l'intégrité des données.",CVE-2024-12905,7.5,HIGH,CWE-59,CWE-59 Improper Link Resolution Before File Access ('Link Following'),0.01895,"An Improper Link Resolution Before File Access (""Link Following"") and Improper Limitation of a Pathname to a Restricted Directory (""Path Traversal""). This vulnerability occurs when extracting a maliciously crafted tar file, which can result in unauthorized file writes or overwrites outside the intended extraction directory. The issue is associated with index.js in the tar-fs package.

This issue affects tar-fs: from 0.0.0 before 1.16.4, from 2.0.0 before 2.1.2, from 3.0.0 before 3.0.8.",,,"0.0.0, 2.0.0, 3.0.0"
CERTFR-2026-AVI-0742,Multiples vulnérabilités dans les produits NetApp (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0742/,"De multiples vulnérabilités ont été découvertes dans les produits NetApp. Elles permettent à un attaquant de provoquer un déni de service à distance, une atteinte à la confidentialité des données et une atteinte à l'intégrité des données.",CVE-2025-22870,,,Non disponible,CWE-115 Misinterpretation of Input,0.0035,"Matching of hosts against proxy patterns can improperly treat an IPv6 zone ID as a hostname component. For example, when the NO_PROXY environment variable is set to ""*.example.com"", a request to ""[::1%25.example.com]:80` will incorrectly match and not be proxied.",Go standard library,net/http,"0, 1.24.0-0"
CERTFR-2026-AVI-0742,Multiples vulnérabilités dans les produits NetApp (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0742/,"De multiples vulnérabilités ont été découvertes dans les produits NetApp. Elles permettent à un attaquant de provoquer un déni de service à distance, une atteinte à la confidentialité des données et une atteinte à l'intégrité des données.",CVE-2023-24531,,,Non disponible,CWE-138: Improper Neutralization of Special Elements,0.00833,"Command go env is documented as outputting a shell script containing the Go environment. However, go env doesn't sanitize values, so executing its output as a shell script can cause various bad bahaviors, including executing arbitrary commands or inserting new environment variables. This issue is relatively minor because, in general, if an attacker can set arbitrary environment variables on a system, they have better attack vectors than making ""go env"" print them out.",Go toolchain,cmd/go,0
CERTFR-2026-AVI-0743,Vulnérabilité dans les produits Moxa (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0743/,Une vulnérabilité a été découverte dans les produits Moxa. Elle permet à un attaquant de provoquer une atteinte à la confidentialité des données.,CVE-2026-9266,,,CWE-325,CWE-325: Missing Cryptographic Step,0.0007,"A Missing Required Cryptographic Step vulnerability has been identified in Moxa's embedded Linux firmware for industrial computers and controllers. This vulnerability represents an incomplete remediation of CVE-2026-0714. The firmware introduced TPM2 parameter encryption as a countermeasure against CVE-2026-0714. However, an omission in the authorization session configuration causes the parameter encryption to provide no effective protection. An attacker with invasive physical access to the device can still capture TPM communications on the SPI bus and derive the LUKS disk encryption key in plaintext. While successful exploitation results in full compromise of the encrypted disk volume, the attack requires invasive physical access, including opening the device and attaching external equipment to the SPI bus. Remote exploitation is not possible, and the attack does not affect any downstream systems.",Moxa,UC-1200A Series,1.0
CERTFR-2026-AVI-0744,Multiples vulnérabilités dans les produits Spring (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0744/,De multiples vulnérabilités ont été découvertes dans les produits Spring. Elles permettent à un attaquant de provoquer un déni de service à distance et un problème de sécurité non spécifié par l'éditeur.,CVE-2026-47825,8.6,HIGH,CWE-346,CWE-346: Origin Validation Error,0.00186,"Spring Cloud Gateway Server forwards the X-Forwarded-For and Forwarded headers from untrusted proxies in certain configuration scenarios. This affects both the WebMVC and WebFlux Gateway Servers.

Affected versions:
Spring Cloud Gateway 3.1.x (fix 3.1.13).
Spring Cloud Gateway 4.1.x (fix 4.1.13).
Spring Cloud Gateway 4.2.x (fix 4.2.9).
Spring Cloud Gateway 4.3.x (fix 4.3.5).
Spring Cloud Gateway 5.0.x (fix 5.0.2).",Spring,Spring Cloud Gateway,"3.1.0, 4.1.0, 4.2.0, 4.3.0, 5.0.0"
